numar_factura,numar_comanda,cod_articol,id_cantitate
4011000011035459,2067211,4921,1||2067211||1||9
4011000011035459,2067211,5066,1||2067211||1||2
4011000011035459,2067211,6155,1||2067211||1||4
4011000011035459,2067211,6163,1||2067211||1||5
4011000011035459,2067211,6387,1||2067211||1||3
4011000011035459,2067211,6666,1||2067211||1||7
4011000011035459,2067211,7098,1||2067211||1||8
4011000011035459,2067211,7287,1||2067211||1||10
4011000011035459,2067211,8201,1||2067211||1||1
4011000011035459,2067211,9870,1||2067211||1||6
